municipality,"Heritage community resilience (Integration of ""new"" communities)",Shared values (political compass approach),Alternative Food Networks ,Self provisioning (vs. Conventional Food Provisioning),Bottom-Up (vs. Top-Down),Vehicle transport ,Housing availability,Public Services,Agency,Collective (vs. Private) ,Unemployment rate,Education,Income diversification through (other commercial activities),Attraction of new businesses ,Subsidies ,Zoning Plans ,Land Prices ,Land Availability,Nitrogen deposition,Biodiversity ,Transformative farm practices,Extensification of farming practices,Land use change flexibility,Positive (vs negative) resource use ,Energy service,Water service,Medical service,Police service
Aa en Hunze,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.252293578,0.191572025,0.234042553,#DIV/0!,#DIV/0!,0.282051282,0.729166667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.097560976,0.697485347,0.163017032,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.666666667,#DIV/0!,0.188172043,#DIV/0!
Altena,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.19559633,0,0.210638298,#DIV/0!,#DIV/0!,0.655677656,0.1875,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.554878049,0.096967224,0.253041363,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.466666667,#DIV/0!,0.172043011,#DIV/0!
Berkelland,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.672547636,0.206604386,0.153191489,#DIV/0!,#DIV/0!,0.611721612,0.53125,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.548780488,0.265605875,0.783454988,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.333333333,#DIV/0!,0.553763441,#DIV/0!
Borger-Odoorn,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.170825688,0.167488606,0.295744681,#DIV/0!,#DIV/0!,0.351648352,0.614583333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.097560976,0.697485347,0.136253041,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.666666667,#DIV/0!,0.182795699,#DIV/0!
Bronckhorst,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.762468724,0.246386981,0.089361702,#DIV/0!,#DIV/0!,0.36996337,0.364583333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.548780488,0.422614274,0.530413625,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.333333333,#DIV/0!,0,#DIV/0!
Dalfsen,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.35412844,0.081361909,0.093617021,#DIV/0!,#DIV/0!,0.179487179,0.697916667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.384146341,0.279279279,0.783454988,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.866666667,#DIV/0!,0.327956989,#DIV/0!
De Fryske Marren,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.344954128,0.24472617,0.24893617,#DIV/0!,#DIV/0!,0.142857143,0.96875,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.164634146,0.333564734,0.549878345,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,#DIV/0!,0.424731183,#DIV/0!
De Wolden,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.057761468,0.133418299,0.163829787,#DIV/0!,#DIV/0!,0.652014652,0.479166667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.097560976,0.577766782,0.583941606,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.666666667,#DIV/0!,0.016129032,#DIV/0!
Dinkelland,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.451209341,0.059641712,0.174468085,#DIV/0!,#DIV/0!,0.611721612,0.552083333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.384146341,0.37000123,0.771289538,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.866666667,#DIV/0!,0.591397849,#DIV/0!
Goeree-Overflakkee,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.411238532,0.151774481,0.731914894,#DIV/0!,#DIV/0!,0.340659341,0.34375,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.942073171,0.212038304,0.04622871,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.866666667,#DIV/0!,0.010752688,#DIV/0!
Het Hogeland,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,0.37745573,0.021276596,#DIV/0!,#DIV/0!,0.798534799,0.510416667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0.560723514,0.187347932,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,#DIV/0!,0.602150538,#DIV/0!
Hof van Twente,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.573311093,0.156478584,0.012765957,#DIV/0!,#DIV/0!,0.73992674,0.541666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.384146341,0.293712317,0.9756691,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.866666667,#DIV/0!,0.241935484,#DIV/0!
Hollands Kroon,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.459082569,0.139591891,0.170212766,#DIV/0!,#DIV/0!,0.677655678,0.447916667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,0.411378268,0.136253041,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.64516129,#DIV/0!
Horst aan de Maas,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.335045872,0.095193445,0.053191489,#DIV/0!,#DIV/0!,0.271062271,0.03125,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.179878049,0.160206718,0.647201946,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.193548387,#DIV/0!
Hulst,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.134495413,0.445064974,0.959574468,#DIV/0!,#DIV/0!,0.516483516,0.052083333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.283536585,0.325125399,0.060827251,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.466666667,#DIV/0!,0.505376344,#DIV/0!
Leudal,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.568807339,0.229794558,0.161702128,#DIV/0!,#DIV/0!,0.816849817,0.020833333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.179878049,0.144186047,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.107526882,#DIV/0!
Medemblik,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0.118955808,0.123404255,#DIV/0!,#DIV/0!,0.41025641,0.447916667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,0,0.245742092,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.252688172,#DIV/0!
Midden-Drenthe,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.424587156,0.156237549,0.10212766,#DIV/0!,#DIV/0!,0.717948718,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.097560976,0.653866955,0.362530414,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.666666667,#DIV/0!,0.35483871,#DIV/0!
Noardeast-Fryslan,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.536566186,0.249382414,0.193617021,#DIV/0!,#DIV/0!,0.380952381,0.166666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.164634146,0.458773784,0.374695864,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,#DIV/0!,0.919354839,#DIV/0!
Ooststellingwerf,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.179449541,0.198563286,0.421276596,#DIV/0!,#DIV/0!,0.347985348,0.135416667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.164634146,0.513603891,0.608272506,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,#DIV/0!,0.602150538,#DIV/0!
Opsterland,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.115403187,0.192320449,0.314893617,#DIV/0!,#DIV/0!,0.743589744,0.572916667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.164634146,0.411378268,0.569343066,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,#DIV/0!,0.086021505,#DIV/0!
Peel en Maas,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.64648318,0.114156565,0.138297872,#DIV/0!,#DIV/0!,0.26007326,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.179878049,0.085534095,0.875912409,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,0.241935484,#DIV/0!
Schouwen-Duiveland,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.614345288,0.447143054,0.529787234,#DIV/0!,#DIV/0!,0.10989011,0.375,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.283536585,0.279279279,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.466666667,#DIV/0!,1,#DIV/0!
Sluis,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.530275229,1,1,#DIV/0!,#DIV/0!,0.058608059,0.364583333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.283536585,0.513603891,0.00729927,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.466666667,#DIV/0!,0.010752688,#DIV/0!
Tubbergen,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.303669725,0.013726372,0.180851064,#DIV/0!,#DIV/0!,0.454212454,0.385416667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.384146341,0.411378268,0.95620438,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.866666667,#DIV/0!,0.306451613,#DIV/0!
Twenterand,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.189908257,0.042877511,0,#DIV/0!,#DIV/0!,0,0.572916667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.384146341,0.053198414,0.605839416,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.866666667,#DIV/0!,0.23655914,#DIV/0!
Veere,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.202359109,0.466618991,0.144680851,#DIV/0!,#DIV/0!,0.571428571,0.385416667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.283536585,0.222938265,0.204379562,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.466666667,#DIV/0!,0.161290323,#DIV/0!
West Betuwe,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.429619921,0.027756403,0.044680851,#DIV/0!,#DIV/0!,1,0.041666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.548780488,0.152032906,0.467153285,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.333333333,#DIV/0!,0.247311828,#DIV/0!
Westerkwartier,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.711009174,0.155291411,0.14893617,#DIV/0!,#DIV/0!,0.175824176,0.364583333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0.259035538,0.510948905,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,#DIV/0!,0.408602151,#DIV/0!
Westerveld,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.428190158,0.156811506,0.227659574,#DIV/0!,#DIV/0!,0.285714286,0.291666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.097560976,1,0.403892944,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.666666667,#DIV/0!,0.575268817,#DIV/0!
Weststellingwerf,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.138478144,0.23822982,0.080851064,#DIV/0!,#DIV/0!,0.153846154,0.09375,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.164634146,0.471719782,0.642335766,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,#DIV/0!,0.456989247,#DIV/0!
